Employee_Number,Age,Age_Group,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Curr_Manager,Date_Birth,Remote_Work,Satisfaction_Group
24,38,36-45,False,Unknown,371,Research & Development,2,3,Life Sciences,4,M,45,3,1, Research Scientist ,4,Single,4306,5,True,0.11,3,3,0,6,3,3,3,1,2,1985,True,A
26,24,18-25,False,Unknown,673,Research & Development,11,2,Unknown,1,F,96,4,2, Manufacturing Director ,3,Unknown,8232,0,False,0.18,3,4,1,5,5,2,4,1,3,1999,True,A
31,34,26-35,True,Unknown,699,Research & Development,6,1,Unknown,2,M,83,3,1, Research Scientist ,1,Single,17102,2,False,0.11,3,3,0,11,2,3,4,1,3,1989,True,B
33,32,26-35,True,Travel Frequently,99999,Research & Development,16,1,Unknown,2,F,72,1,1, Research Scientist ,1,Unknown,4681,1,Unknown,0.22,3,2,0,11,5,3,10,6,7,1991,False,B
38,46,46-55,False,Travel Rarely,705,Unknown,2,4,Marketing,2,F,83,3,5, Manager ,1,Single,22822,3,Unknown,0.12,3,4,0,22,2,2,2,2,1,1977,False,B
40,44,36-45,False,Unknown,1459,Research & Development,10,4,Other,4,M,41,3,2, Healthcare Representative ,4,Married,19121,2,Unknown,0.13,3,4,0,11,5,4,4,1,3,1979,False,A
47,50,46-55,True,Travel Rarely,99999,Unknown,3,2,Unknown,1,M,86,2,1, Sales Representative ,3,Married,3810,1,Unknown,0.14,3,3,0,3,2,3,3,0,2,1973,True,A
49,35,26-35,False,Unknown,890,Unknown,2,3,Marketing,4,F,97,3,1, Sales Representative ,4,Married,9687,1,False,0.13,3,1,0,2,3,3,2,2,2,1988,True,A
65,28,26-35,True,Unknown,1434,Research & Development,5,4,Unknown,3,M,50,3,1, Laboratory Technician ,3,Single,11179,1,True,0.13,3,3,0,2,3,2,2,2,2,1995,True,A
72,26,26-35,False,Unknown,1443,Sales,22,3,Unknown,3,F,47,2,2, Sales Executive ,4,Married,21436,7,True,0.19,3,3,1,5,2,2,2,0,0,1997,False,A
2254,35,26-35,False,Travel Rarely,1142,Research & Development,31,4,Unknown,3,F,30,3,1, Laboratory Technician ,1,Unknown,16002,3,True,0.15,3,3,1,4,3,3,2,2,2,1988,False,B
88,35,26-35,False,Unknown,664,Research & Development,31,3,Medical,2,M,79,3,1, Research Scientist ,1,Married,5868,4,False,0.13,3,4,1,5,2,2,3,1,2,1988,True,B
102,37,36-45,False,Travel Rarely,397,Research & Development,20,4,Medical,1,M,30,3,3, Research Director ,3,Unknown,25258,4,Unknown,0.13,3,1,0,11,3,4,5,0,2,1986,True,A
103,46,46-55,False,Travel Rarely,99999,Unknown,38,2,Medical,4,M,80,3,2, Human Resources ,2,Divorced,10425,8,True,0.22,4,4,1,11,2,3,4,0,2,1977,True,B
110,34,26-35,False,Travel Rarely,1153,Research & Development,1,2,Medical,1,M,94,3,2, Manufacturing Director ,2,Married,17736,1,False,0.15,3,3,0,11,2,3,5,1,3,1989,True,B
116,51,46-55,False,Travel Rarely,432,Research & Development,9,4,Unknown,4,M,96,3,1, Laboratory Technician ,4,Unknown,18725,3,Unknown,0.23,4,2,2,10,4,3,4,0,3,1972,True,A
128,24,18-25,False,Travel Rarely,1353,Sales,3,2,Other,1,F,33,3,2, Sales Executive ,3,Married,17519,0,False,0.21,4,1,1,4,2,2,3,0,2,1999,True,A
132,44,36-45,False,Unknown,489,Research & Development,23,3,Unknown,2,M,99999,3,2, Laboratory Technician ,2,Married,25043,4,Unknown,0.12,3,3,1,11,3,4,3,1,2,1979,True,B
133,37,36-45,True,Travel Rarely,807,Unknown,6,4,Human Resources,3,M,63,3,1, Human Resources ,1,Divorced,23648,4,Unknown,0.22,4,4,0,11,3,3,3,0,2,1986,True,B
2255,59,56-65,False,Non Travel,1420,Unknown,2,4,Human Resources,3,F,32,2,5, Manager ,4,Unknown,21922,9,False,0.21,4,4,1,11,3,3,3,2,2,1964,False,A
143,25,18-25,False,Unknown,1280,Research & Development,7,1,Unknown,4,M,99999,2,1, Research Scientist ,4,Married,26897,1,False,0.11,3,3,2,11,2,3,2,2,1,1998,True,A
171,43,36-45,False,Unknown,957,Research & Development,26,3,Medical,2,F,72,4,1, Research Scientist ,3,Single,16090,4,Unknown,0.12,3,4,0,11,2,3,3,1,2,1980,True,A
2256,50,46-55,False,Travel Frequently,809,Sales,12,3,Unknown,3,F,77,3,3, Sales Executive ,4,Single,6645,4,False,0.11,3,4,0,16,3,3,2,2,1,1973,False,A
175,31,26-35,True,Travel Rarely,542,Sales,20,3,Unknown,2,F,71,1,2, Sales Executive ,3,Unknown,24788,3,True,0.11,3,3,1,4,2,3,2,2,2,1992,True,A
178,36,36-45,False,Unknown,216,Research & Development,6,2,Medical,2,M,84,3,2, Manufacturing Director ,2,Divorced,2819,6,False,0.2,4,4,2,7,0,3,3,0,1,1987,False,B
179,51,46-55,True,Travel Frequently,1150,Research & Development,16,4,Unknown,1,M,53,1,3, Manufacturing Director ,4,Unknown,25150,2,Unknown,0.15,3,4,0,18,2,3,4,0,3,1972,False,A
2257,25,18-25,False,Unknown,99999,Sales,28,3,Life Sciences,1,M,41,2,2, Sales Executive ,3,Unknown,24835,2,Unknown,0.18,3,4,0,11,3,3,2,2,2,1998,False,A
193,38,36-45,False,Travel Rarely,364,Research & Development,3,5,Technical Degree,4,F,32,3,2, Research Scientist ,3,Unknown,2302,3,True,0.2,4,2,0,19,2,3,3,2,2,1985,False,A
197,30,26-35,False,Travel Rarely,201,Research & Development,5,3,Technical Degree,4,F,84,3,1, Research Scientist ,1,Divorced,10415,5,False,0.14,3,4,1,8,3,3,3,2,2,1993,True,B
2258,22,18-25,False,Unknown,1256,Research & Development,36,1,Medical,4,M,80,3,1, Research Scientist ,4,Married,11992,1,False,0.24,4,1,2,2,6,3,2,2,2,2001,True,A
218,27,26-35,False,Non Travel,691,Research & Development,9,3,Medical,4,M,57,3,1, Research Scientist ,2,Unknown,5970,6,Unknown,0.18,3,4,1,11,1,1,2,2,2,1996,True,B
221,28,26-35,False,Unknown,440,Research & Development,21,3,Medical,3,M,42,3,1, Research Scientist ,4,Married,6672,1,False,0.11,3,3,1,5,2,1,5,0,2,1995,True,A
233,27,26-35,False,Unknown,1157,Research & Development,17,3,Unknown,3,M,51,3,1, Research Scientist ,2,Unknown,13364,0,Unknown,0.16,3,4,1,6,3,2,5,1,1,1996,True,B
241,56,56-65,False,Travel Rarely,713,Research & Development,8,3,Life Sciences,3,F,67,3,1, Research Scientist ,1,Divorced,13939,4,Unknown,0.18,3,3,1,11,3,3,2,2,2,1967,True,B
245,38,36-45,False,Travel Rarely,99999,Research & Development,9,2,Unknown,3,F,75,3,1, Laboratory Technician ,4,Single,6319,1,Unknown,0.12,3,3,0,11,3,3,2,2,1,1985,True,A
246,31,26-35,False,Travel Rarely,140,Research & Development,12,1,Medical,3,F,95,3,1, Research Scientist ,4,Unknown,6984,8,Unknown,0.23,4,3,1,7,0,3,4,0,2,1992,True,A
247,34,26-35,False,Travel Rarely,629,Research & Development,27,2,Medical,4,F,95,3,1, Research Scientist ,2,Unknown,5711,2,False,0.15,3,4,0,9,3,3,3,1,2,1989,True,B
249,50,46-55,False,Unknown,328,Research & Development,1,3,Unknown,3,M,86,2,1, Laboratory Technician ,3,Unknown,3425,2,Unknown,0.15,3,4,1,11,2,2,3,0,2,1973,False,A
250,53,46-55,False,Unknown,1084,Research & Development,13,2,Unknown,4,F,99999,4,2, Manufacturing Director ,1,Divorced,26250,1,False,0.11,3,3,2,5,3,3,4,1,3,1970,False,B
269,35,26-35,False,Travel Frequently,99999,Research & Development,24,3,Medical,2,F,37,3,2, Laboratory Technician ,2,Single,15986,5,Unknown,0.11,3,4,0,11,5,3,6,1,2,1988,True,B
2259,27,26-35,False,Travel Frequently,472,Research & Development,1,1,Unknown,3,M,60,2,2, Manufacturing Director ,1,Married,9679,5,Unknown,0.19,3,3,1,11,1,3,2,2,0,1996,False,B
2260,40,36-45,False,Unknown,905,Research & Development,38,2,Unknown,3,M,99,3,2, Laboratory Technician ,4,Married,16523,8,Unknown,0.15,3,3,1,11,2,4,7,3,7,1983,True,A
2261,22,18-25,False,Unknown,1136,Research & Development,22,3,Life Sciences,3,M,60,4,1, Research Scientist ,2,Unknown,12392,1,Unknown,0.16,3,1,1,4,2,2,4,2,2,2001,False,B
287,40,36-45,False,Unknown,1151,Research & Development,10,5,Life Sciences,4,M,63,2,2, Healthcare Representative ,4,Unknown,14242,9,False,0.14,3,4,1,5,5,1,3,0,2,1983,True,A
288,46,46-55,False,Unknown,644,Research & Development,1,4,Unknown,4,M,99999,3,3, Healthcare Representative ,1,Unknown,12368,7,False,0.16,3,3,1,17,3,3,4,0,3,1977,True,B
297,30,26-35,True,Unknown,1005,Research & Development,3,3,Technical Degree,4,F,88,3,1, Research Scientist ,1,Unknown,8556,5,True,0.11,3,3,0,8,5,3,5,0,4,1993,True,B
2262,29,26-35,True,Unknown,992,Research & Development,1,3,Unknown,3,M,85,3,1, Research Scientist ,3,Single,19757,0,Unknown,0.14,3,4,0,11,1,2,6,1,5,1994,False,A
303,54,46-55,False,Unknown,1147,Sales,3,3,Unknown,4,F,52,3,2, Sales Executive ,1,Married,17011,2,Unknown,0.14,3,4,1,16,4,3,6,0,5,1969,False,B
305,33,26-35,False,Travel Rarely,147,Research & Development,4,4,Unknown,3,F,47,2,1, Research Scientist ,2,Married,13248,6,Unknown,0.21,4,4,0,11,3,3,3,1,1,1990,True,B
316,52,46-55,False,Travel Rarely,1323,Research & Development,2,3,Unknown,3,F,89,2,1, Laboratory Technician ,4,Single,3300,7,Unknown,0.15,3,2,0,11,3,2,2,2,2,1971,True,A
2263,59,56-65,False,Travel Rarely,818,Human Resources,6,2,Medical,2,M,99999,3,1, Human Resources ,3,Married,25657,8,Unknown,0.17,3,4,0,11,2,2,2,2,2,1964,False,A
2264,32,26-35,True,Unknown,515,Research & Development,1,3,Unknown,4,M,62,2,1, Laboratory Technician ,3,Single,9571,0,Unknown,0.14,3,4,0,4,2,1,3,1,2,1991,True,A
332,39,36-45,False,Unknown,1431,Research & Development,24,4,Medical,3,F,96,3,1, Laboratory Technician ,3,Divorced,15417,7,False,0.14,3,3,3,7,1,3,3,1,2,1984,False,A
2265,32,26-35,False,Non Travel,976,Sales,26,4,Marketing,3,M,100,3,2, Sales Executive ,4,Unknown,12069,0,False,0.18,3,1,0,4,2,3,3,2,2,1991,True,A
337,31,26-35,False,Unknown,1327,Research & Development,3,4,Medical,2,M,73,3,3, Research Director ,3,Divorced,13523,9,False,0.12,3,1,1,11,3,3,2,2,2,1992,True,A
338,33,26-35,False,Travel Rarely,832,Research & Development,5,4,Life Sciences,3,F,63,2,1, Research Scientist ,4,Married,14776,1,Unknown,0.13,3,3,1,2,2,2,2,0,2,1990,True,A
341,45,36-45,False,Unknown,1199,Research & Development,23,4,Life Sciences,1,M,77,4,2, Manufacturing Director ,3,Unknown,5118,4,Unknown,0.17,3,4,1,9,1,3,3,0,2,1978,True,A
347,42,36-45,False,Unknown,916,Research & Development,17,2,Unknown,4,F,82,4,2, Research Scientist ,1,Single,23016,3,True,0.13,3,3,0,11,1,3,3,0,2,1981,True,B
349,29,26-35,False,Unknown,1247,Sales,19,2,Marketing,4,M,45,3,2, Sales Executive ,4,Divorced,10732,2,False,0.14,3,4,1,11,2,3,3,0,2,1994,False,A
350,25,18-25,False,Travel Rarely,685,Research & Development,1,3,Unknown,1,F,62,3,2, Manufacturing Director ,3,Married,7505,0,False,0.12,3,4,2,5,3,3,4,1,2,1998,False,A
362,32,26-35,False,Unknown,128,Research & Development,2,1,Unknown,4,M,84,2,2, Laboratory Technician ,1,Unknown,19737,4,False,0.13,3,4,0,9,5,3,6,0,4,1991,False,B
2266,28,26-35,False,Travel Rarely,1158,Research & Development,9,3,Unknown,4,M,94,3,1, Research Scientist ,4,Married,2613,1,False,0.23,4,4,1,11,3,3,5,0,4,1995,True,A
379,21,18-25,False,Travel Rarely,996,Research & Development,3,2,Unknown,4,M,100,2,1, Research Scientist ,3,Single,10531,1,False,0.17,3,1,0,11,4,4,3,1,0,2002,False,A
380,37,36-45,False,Non Travel,728,Research & Development,1,4,Medical,1,F,80,3,3, Research Director ,4,Divorced,11677,2,True,0.18,3,1,2,11,2,3,5,0,2,1986,False,A
393,38,36-45,False,Travel Rarely,688,Research & Development,23,4,Life Sciences,4,M,82,3,2, Healthcare Representative ,4,Unknown,18899,9,Unknown,0.14,3,2,1,11,2,3,2,1,2,1985,False,A
394,26,26-35,True,Travel Rarely,1449,Research & Development,16,4,Medical,1,M,45,3,1, Laboratory Technician ,2,Divorced,14180,2,True,0.13,3,4,1,11,2,3,3,0,2,1997,False,B
396,49,46-55,False,Unknown,636,Research & Development,10,4,Life Sciences,3,F,99999,3,5, Research Director ,1,Single,25594,9,True,0.11,3,4,0,11,4,3,3,1,2,1974,True,B
2267,31,26-35,False,Travel Frequently,444,Sales,5,3,Unknown,4,F,84,3,1, Sales Representative ,2,Divorced,3909,1,Unknown,0.11,3,3,1,2,5,2,2,2,2,1992,True,B
403,37,36-45,False,Travel Frequently,889,Research & Development,9,3,Medical,2,M,53,3,1, Research Scientist ,4,Married,11411,1,Unknown,0.12,3,3,3,11,3,2,4,1,2,1986,False,A
2268,52,46-55,False,Travel Rarely,1490,Unknown,4,2,Life Sciences,4,F,99999,3,4, Manager ,4,Married,10310,2,False,0.13,3,4,0,31,2,1,5,1,4,1971,False,A
555,34,26-35,True,Travel Frequently,296,Unknown,6,2,Unknown,4,F,33,1,1, Sales Representative ,3,Unknown,12253,0,False,0.16,3,4,1,3,3,2,2,1,0,1989,True,A
2269,26,26-35,False,Travel Rarely,1349,Research & Development,23,3,Life Sciences,1,F,90,3,1, Research Scientist ,4,Divorced,3032,1,False,0.22,4,2,2,11,3,1,3,0,2,1997,True,A
564,29,26-35,False,Unknown,986,Research & Development,3,4,Unknown,2,M,93,2,3, Research Director ,3,Unknown,21526,1,False,0.18,3,3,0,11,2,3,10,0,7,1994,True,A
2270,29,26-35,True,Unknown,408,Research & Development,25,5,Technical Degree,3,F,71,2,1, Research Scientist ,2,Married,18300,5,False,0.16,3,2,0,6,2,4,2,1,1,1994,False,B
2271,46,46-55,False,Unknown,1009,Research & Development,2,3,Life Sciences,1,M,51,3,4, Research Director ,3,Married,2288,6,False,0.13,3,3,0,11,2,1,3,0,1,1977,False,A
580,46,46-55,False,Unknown,1125,Sales,10,3,Marketing,3,F,94,2,3, Sales Executive ,4,Unknown,11563,2,Unknown,0.19,3,3,1,15,3,3,3,1,2,1977,False,A
585,30,26-35,False,Travel Rarely,413,Sales,7,1,Marketing,4,M,57,3,1, Sales Representative ,2,Single,18398,0,Unknown,0.14,3,1,0,11,3,3,3,1,2,1993,True,B
2272,34,26-35,True,Travel Frequently,988,Human Resources,23,3,Unknown,2,F,43,3,3, Human Resources ,1,Divorced,11533,9,True,0.15,3,3,3,11,2,3,3,0,2,1989,False,B
591,42,36-45,False,Unknown,1474,Research & Development,5,2,Other,2,M,97,3,1, Laboratory Technician ,3,Married,9260,4,False,0.17,3,4,1,11,4,3,2,2,0,1981,True,A
593,22,18-25,True,Unknown,1368,Research & Development,25,1,Technical Degree,3,M,99,2,1, Laboratory Technician ,3,Single,9129,5,False,0.16,3,3,0,4,3,3,2,1,2,2001,True,A
611,29,26-35,False,Travel Rarely,232,Research & Development,19,3,Technical Degree,4,M,34,3,2, Manufacturing Director ,4,Divorced,22645,4,False,0.12,3,2,2,8,2,4,3,1,2,1994,True,A
624,46,46-55,False,Travel Frequently,1034,Research & Development,18,1,Medical,1,F,86,3,3, Healthcare Representative ,3,Married,8984,5,False,0.11,3,4,0,11,3,2,2,1,2,1977,True,A
631,32,26-35,True,Unknown,1474,Sales,11,4,Other,4,M,99999,4,2, Sales Executive ,3,Unknown,23914,8,Unknown,0.12,3,4,0,11,2,3,4,1,2,1991,True,A
632,24,18-25,False,Unknown,99999,Unknown,24,3,Medical,4,M,38,3,1, Sales Representative ,4,Unknown,5530,0,False,0.13,3,3,2,3,3,3,2,2,1,1999,False,A
652,35,26-35,False,Travel Rarely,538,Research & Development,25,2,Unknown,1,M,54,2,2, Laboratory Technician ,4,Single,14004,4,False,0.14,3,4,0,11,3,3,3,0,2,1988,False,A
659,42,36-45,False,Unknown,622,Research & Development,2,4,Life Sciences,3,F,81,3,2, Healthcare Representative ,4,Married,5718,1,False,0.13,3,2,2,10,4,3,10,2,2,1981,True,A
664,48,46-55,False,Travel Rarely,1236,Unknown,1,4,Unknown,4,F,40,2,4, Manager ,1,Married,17997,7,False,0.11,3,1,1,21,3,1,3,0,2,1975,True,B
665,44,36-45,False,Travel Rarely,1112,Unknown,1,4,Unknown,1,F,50,2,2, Human Resources ,3,Unknown,26894,4,False,0.11,3,2,0,10,1,4,2,0,2,1979,True,A
666,34,26-35,False,Unknown,204,Sales,14,3,Unknown,3,F,31,3,1, Sales Representative ,3,Unknown,2912,1,True,0.18,3,4,2,8,3,3,8,0,6,1989,True,A
2273,21,18-25,False,Unknown,1343,Unknown,22,1,Technical Degree,3,M,49,3,1, Sales Representative ,3,Unknown,24444,1,Unknown,0.11,3,3,0,11,2,3,3,1,2,2002,True,A
671,44,36-45,False,Travel Rarely,1315,Unknown,3,4,Unknown,4,M,35,3,5, Manager ,4,Unknown,9358,4,Unknown,0.12,3,1,1,26,2,4,2,0,1,1979,True,A
675,22,18-25,False,Travel Rarely,99999,Research & Development,6,1,Medical,1,M,69,3,1, Research Scientist ,3,Married,12145,0,Unknown,0.2,4,4,0,11,3,3,2,2,2,2001,True,A
686,26,26-35,False,Travel Rarely,991,Research & Development,6,3,Unknown,3,F,71,3,1, Laboratory Technician ,4,Unknown,17759,1,True,0.13,3,3,1,11,2,3,3,0,2,1997,False,A
699,36,36-45,False,Unknown,913,Research & Development,9,2,Medical,2,M,48,2,2, Manufacturing Director ,2,Unknown,13934,2,True,0.11,3,3,1,13,2,3,3,0,2,1987,True,B
2274,27,26-35,False,Unknown,1115,Research & Development,3,4,Medical,1,M,54,2,1, Research Scientist ,4,Single,15174,0,Unknown,0.13,3,4,0,5,0,3,4,1,1,1996,True,A
705,23,18-25,False,Travel Rarely,885,Research & Development,4,3,Unknown,1,M,58,4,1, Research Scientist ,1,Unknown,8544,2,Unknown,0.16,3,1,1,5,3,4,3,0,2,2000,False,B
707,25,18-25,False,Unknown,810,Sales,8,3,Life Sciences,4,M,57,4,2, Sales Executive ,2,Unknown,15678,0,False,0.22,4,3,1,4,4,3,3,1,2,1998,False,B
712,48,46-55,False,Unknown,817,Sales,14,1,Unknown,2,M,56,4,2, Sales Executive ,2,Married,18597,3,Unknown,0.12,3,4,0,11,3,3,2,2,2,1975,True,B
2275,24,18-25,True,Travel Rarely,693,Sales,3,2,Life Sciences,1,F,65,3,2, Sales Executive ,3,Single,24785,9,False,0.14,3,1,0,11,3,3,2,2,0,1999,True,A
732,60,56-65,False,Travel Rarely,1179,Sales,16,4,Unknown,1,M,84,3,2, Sales Executive ,1,Single,11924,8,False,0.14,3,4,0,10,1,3,2,2,2,1963,False,B
738,50,46-55,False,Unknown,316,Unknown,8,4,Marketing,4,M,54,3,1, Sales Representative ,2,Married,9983,7,False,0.15,3,4,1,4,2,3,2,2,2,1973,True,B
744,44,36-45,False,Non Travel,381,Research & Development,24,3,Unknown,1,M,49,1,1, Laboratory Technician ,3,Single,2104,2,Unknown,0.14,3,3,0,9,5,3,5,1,4,1979,False,A
746,47,46-55,False,Travel Frequently,217,Sales,3,3,Unknown,4,F,49,3,4, Sales Executive ,3,Divorced,10225,9,True,0.12,3,4,2,28,2,2,22,11,13,1976,True,A
752,42,36-45,True,Unknown,933,Research & Development,19,3,Unknown,3,M,57,4,1, Research Scientist ,3,Divorced,20366,6,Unknown,0.12,3,4,0,11,2,3,2,2,2,1981,True,A
754,43,36-45,False,Travel Frequently,775,Sales,15,3,Life Sciences,4,M,47,2,2, Sales Executive ,4,Married,23683,3,Unknown,0.18,3,3,1,7,5,3,2,2,2,1980,True,A
2276,40,36-45,False,Unknown,804,Research & Development,2,1,Unknown,4,F,86,2,1, Research Scientist ,4,Single,22929,0,Unknown,0.2,4,4,0,5,2,2,4,2,3,1983,False,A
2277,29,26-35,False,Unknown,1090,Sales,10,3,Unknown,4,M,83,3,1, Sales Representative ,2,Unknown,17967,1,False,0.14,3,4,2,11,2,3,2,2,2,1994,False,B
769,53,46-55,False,Unknown,346,Research & Development,6,3,Unknown,4,M,86,3,2, Laboratory Technician ,4,Single,10919,2,Unknown,0.17,3,4,0,19,4,3,2,2,2,1970,False,A
2278,23,18-25,False,Travel Rarely,310,Research & Development,12,1,Medical,1,M,79,4,1, Research Scientist ,3,Single,19630,1,Unknown,0.18,3,4,0,11,3,3,2,0,2,2000,False,A
2279,55,46-55,True,Unknown,725,Unknown,2,3,Medical,4,M,78,3,5, Manager ,1,Unknown,21199,5,True,0.13,3,4,1,24,2,3,5,1,4,1968,False,B
792,26,26-35,False,Travel Frequently,575,Research & Development,1,2,Life Sciences,1,F,71,1,1, Laboratory Technician ,4,Unknown,5288,3,False,0.14,3,1,1,11,2,3,2,2,0,1997,True,A
797,34,26-35,False,Travel Rarely,182,Research & Development,1,4,Unknown,2,F,72,4,1, Research Scientist ,4,Single,13551,2,False,0.16,3,3,0,11,2,3,4,1,3,1989,False,A
800,27,26-35,False,Unknown,829,Sales,8,1,Marketing,3,M,84,3,2, Sales Executive ,4,Married,24008,0,Unknown,0.19,3,2,1,5,3,3,4,1,1,1996,True,A
2280,35,26-35,False,Travel Rarely,384,Unknown,8,4,Unknown,1,F,72,3,1, Sales Representative ,4,Unknown,20317,1,False,0.16,3,2,1,3,1,2,3,0,2,1988,True,A
806,30,26-35,False,Travel Rarely,921,Research & Development,18,3,Unknown,4,M,38,1,1, Laboratory Technician ,3,Married,24375,3,False,0.21,3,3,2,7,2,3,2,0,2,1993,True,A
2281,34,26-35,False,Unknown,1111,Sales,8,2,Unknown,3,F,93,3,2, Sales Executive ,1,Unknown,13305,5,False,0.17,3,2,1,11,1,3,3,1,2,1989,True,B
813,52,46-55,False,Travel Rarely,1325,Research & Development,25,4,Life Sciences,3,F,82,3,2, Laboratory Technician ,3,Unknown,21821,8,Unknown,0.2,4,2,1,9,3,3,5,1,4,1971,True,A
819,33,26-35,True,Travel Rarely,118,Sales,16,3,Marketing,1,F,69,3,2, Sales Executive ,1,Single,26507,5,Unknown,0.15,3,3,0,11,3,3,3,0,2,1990,False,B
2282,35,26-35,False,Travel Rarely,1258,Research & Development,20,4,Unknown,2,F,40,4,1, Research Scientist ,3,Single,13301,3,False,0.13,3,3,0,7,0,3,2,2,2,1988,False,A
2283,28,26-35,True,Unknown,890,Research & Development,2,4,Unknown,3,M,99999,3,1, Research Scientist ,3,Single,16374,6,False,0.17,3,4,0,5,3,2,2,2,1,1995,True,A
2284,36,36-45,False,Travel Rarely,1041,Unknown,13,3,Human Resources,3,M,36,3,1, Human Resources ,2,Married,25527,4,Unknown,0.13,3,2,1,11,2,3,5,0,4,1987,True,B
838,34,26-35,False,Travel Frequently,702,Research & Development,16,4,Unknown,3,F,100,2,1, Research Scientist ,4,Single,8306,1,False,0.16,3,3,0,6,3,3,5,1,3,1989,True,A
847,34,26-35,False,Unknown,829,Unknown,3,2,Unknown,3,M,99999,3,1, Human Resources ,4,Unknown,2243,0,Unknown,0.19,3,3,1,4,1,1,3,0,2,1989,False,A
852,44,36-45,False,Travel Rarely,625,Research & Development,4,3,Unknown,4,M,50,3,2, Healthcare Representative ,2,Single,5197,9,Unknown,0.12,3,4,0,10,2,2,5,2,3,1979,True,B
859,32,26-35,False,Unknown,99999,Sales,13,4,Life Sciences,2,M,73,3,2, Sales Executive ,4,Divorced,9250,2,Unknown,0.11,3,3,1,8,3,2,5,0,3,1991,True,A
2285,53,46-55,False,Unknown,661,Sales,7,2,Unknown,1,F,78,2,3, Sales Executive ,4,Married,20715,7,True,0.18,3,4,1,35,3,3,5,0,4,1970,False,A
872,22,18-25,False,Unknown,99999,Research & Development,1,2,Life Sciences,4,M,99999,2,2, Manufacturing Director ,4,Unknown,19146,6,Unknown,0.22,4,1,2,4,2,1,2,2,2,2001,False,A
874,44,36-45,False,Travel Rarely,986,Research & Development,8,4,Life Sciences,1,M,62,4,1, Laboratory Technician ,4,Unknown,5044,2,True,0.24,4,3,1,10,2,2,3,0,2,1979,False,A
881,35,26-35,True,Travel Frequently,99999,Research & Development,25,4,Life Sciences,4,F,96,3,1, Research Scientist ,2,Divorced,16612,1,Unknown,0.19,3,1,1,10,3,2,10,7,8,1988,True,B
885,25,18-25,False,Unknown,583,Sales,4,1,Unknown,3,M,87,2,2, Sales Executive ,1,Unknown,18154,1,False,0.12,3,1,0,5,1,4,5,0,3,1998,False,B
2286,49,46-55,False,Travel Rarely,1418,Research & Development,1,3,Technical Degree,3,F,36,3,1, Research Scientist ,1,Unknown,10554,2,False,0.16,3,2,1,7,2,3,4,0,2,1974,False,B
888,24,18-25,False,Non Travel,1269,Research & Development,19,1,Life Sciences,1,M,99999,2,1, Laboratory Technician ,4,Unknown,10778,0,Unknown,0.17,3,4,0,11,2,2,5,3,4,1999,False,A
893,38,36-45,False,Travel Rarely,395,Sales,9,3,Marketing,2,M,98,2,1, Sales Representative ,2,Unknown,12102,0,Unknown,0.19,3,4,1,3,3,3,2,1,2,1985,True,B
896,29,26-35,True,Travel Rarely,341,Unknown,1,3,Medical,2,F,48,2,1, Sales Representative ,3,Unknown,23522,6,True,0.19,3,3,3,5,3,3,3,0,2,1994,False,A
902,43,36-45,False,Travel Frequently,99999,Research & Development,1,3,Life Sciences,4,F,33,3,2, Healthcare Representative ,4,Married,21782,4,Unknown,0.13,3,2,1,12,2,2,5,2,2,1980,True,A
916,28,26-35,False,Travel Rarely,821,Sales,5,4,Medical,1,M,98,3,2, Sales Executive ,4,Single,24252,1,Unknown,0.14,3,2,0,4,3,3,4,0,2,1995,False,A
922,20,18-25,True,Travel Rarely,500,Unknown,2,3,Unknown,3,F,49,2,1, Sales Representative ,3,Single,22052,1,Unknown,0.13,3,4,0,2,3,2,2,0,2,2003,True,A
925,47,46-55,False,Unknown,1454,Unknown,2,4,Life Sciences,4,F,65,2,1, Sales Representative ,4,Single,13137,1,True,0.18,3,1,0,3,3,2,3,1,2,1976,True,A
2287,22,18-25,True,Travel Rarely,617,Research & Development,3,1,Life Sciences,2,F,34,3,2, Manufacturing Director ,3,Married,10022,0,True,0.19,3,1,1,4,3,4,3,0,2,2001,True,A
930,28,26-35,False,Unknown,995,Research & Development,9,3,Medical,3,F,77,3,1, Research Scientist ,3,Divorced,9834,5,False,0.18,3,2,1,6,2,3,2,2,2,1995,True,A
2288,39,36-45,True,Unknown,1122,Research & Development,6,3,Medical,4,M,70,3,1, Laboratory Technician ,1,Married,4303,7,Unknown,0.21,4,4,0,11,2,1,2,2,2,1984,True,B
939,33,26-35,False,Travel Rarely,1198,Research & Development,1,4,Unknown,3,M,100,2,1, Research Scientist ,1,Single,3339,3,Unknown,0.11,3,2,0,11,1,3,3,0,2,1990,False,B
2289,36,36-45,False,Travel Rarely,188,Research & Development,7,4,Other,2,M,65,3,1, Research Scientist ,4,Single,23293,2,Unknown,0.18,3,3,0,8,6,3,6,0,1,1987,True,A
