Employee_Number,Age,Age_Group,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Satisfaction_Group,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Curr_Manager,Date_Birth,Remote_Work
171,43,36-45,False,Unknown,957,Research & Development,26,3,Medical,2,F,72,4,1, Research Scientist ,3,Single,4739,16090,4,Unknown,12,3,4,Unknown,0,11,2,3,3,1,2,1980,True
2261,50,46-55,False,Travel Frequently,809,Sales,12,3,Unknown,3,F,77,3,3, Sales Executive ,4,Single,99999,6645,4,False,11,3,4,Unknown,0,16,3,3,2,2,1,1973,False
175,31,26-35,True,Travel Rarely,542,Sales,20,3,Unknown,2,F,71,1,2, Sales Executive ,3,Unknown,99999,24788,3,True,11,3,3,Unknown,1,4,2,3,2,2,2,1992,True
178,36,36-45,False,Unknown,216,Research & Development,6,2,Medical,2,M,84,3,2, Manufacturing Director ,2,Divorced,99999,2819,6,False,20,4,4,Unknown,2,7,0,3,3,0,1,1987,False
179,51,46-55,True,Travel Frequently,1150,Research & Development,16,4,Unknown,1,M,53,1,3, Manufacturing Director ,4,Unknown,10650,25150,2,Unknown,15,3,4,Unknown,0,18,2,3,4,0,3,1972,False
2262,25,18-25,False,Unknown,99999,Sales,28,3,Life Sciences,1,M,41,2,2, Sales Executive ,3,Unknown,99999,24835,2,Unknown,18,3,4,Unknown,0,11,3,3,2,2,2,1998,False
193,38,36-45,False,Travel Rarely,364,Research & Development,3,5,Technical Degree,4,F,32,3,2, Research Scientist ,3,Unknown,4317,2302,3,True,20,4,2,Unknown,0,19,2,3,3,2,2,1985,False
197,30,26-35,False,Travel Rarely,201,Research & Development,5,3,Technical Degree,4,F,84,3,1, Research Scientist ,1,Divorced,99999,10415,5,False,14,3,4,Unknown,1,8,3,3,3,2,2,1993,True
2263,22,18-25,False,Unknown,1256,Research & Development,36,1,Medical,4,M,80,3,1, Research Scientist ,4,Married,99999,11992,1,False,24,4,1,Unknown,2,2,6,3,2,2,2,2001,True
218,27,26-35,False,Non Travel,691,Research & Development,9,3,Medical,4,M,57,3,1, Research Scientist ,2,Unknown,2024,5970,6,Unknown,18,3,4,Unknown,1,11,1,1,2,2,2,1996,True
221,28,26-35,False,Unknown,440,Research & Development,21,3,Medical,3,M,42,3,1, Research Scientist ,4,Married,99999,6672,1,False,11,3,3,Unknown,1,5,2,1,5,0,2,1995,True
233,27,26-35,False,Unknown,1157,Research & Development,17,3,Unknown,3,M,51,3,1, Research Scientist ,2,Unknown,3058,13364,0,Unknown,16,3,4,Unknown,1,6,3,2,5,1,1,1996,True
241,56,56-65,False,Travel Rarely,713,Research & Development,8,3,Life Sciences,3,F,67,3,1, Research Scientist ,1,Divorced,99999,13939,4,Unknown,18,3,3,Unknown,1,11,3,3,2,2,2,1967,True
245,38,36-45,False,Travel Rarely,99999,Research & Development,9,2,Unknown,3,F,75,3,1, Laboratory Technician ,4,Single,99999,6319,1,Unknown,12,3,3,Unknown,0,11,3,3,2,2,1,1985,True
246,31,26-35,False,Travel Rarely,140,Research & Development,12,1,Medical,3,F,95,3,1, Research Scientist ,4,Unknown,3929,6984,8,Unknown,23,4,3,Unknown,1,7,0,3,4,0,2,1992,True
247,34,26-35,False,Travel Rarely,629,Research & Development,27,2,Medical,4,F,95,3,1, Research Scientist ,2,Unknown,99999,5711,2,False,15,3,4,Unknown,0,9,3,3,3,1,2,1989,True
249,50,46-55,False,Unknown,328,Research & Development,1,3,Unknown,3,M,86,2,1, Laboratory Technician ,3,Unknown,99999,3425,2,Unknown,15,3,4,Unknown,1,11,2,2,3,0,2,1973,False
250,53,46-55,False,Unknown,1084,Research & Development,13,2,Unknown,4,F,99999,4,2, Manufacturing Director ,1,Divorced,99999,26250,1,False,11,3,3,Unknown,2,5,3,3,4,1,3,1970,False
269,35,26-35,False,Travel Frequently,99999,Research & Development,24,3,Medical,2,F,37,3,2, Laboratory Technician ,2,Single,4425,15986,5,Unknown,11,3,4,Unknown,0,11,5,3,6,1,2,1988,True
2264,27,26-35,False,Travel Frequently,472,Research & Development,1,1,Unknown,3,M,60,2,2, Manufacturing Director ,1,Married,99999,9679,5,Unknown,19,3,3,Unknown,1,11,1,3,2,2,0,1996,False
2265,40,36-45,False,Unknown,905,Research & Development,38,2,Unknown,3,M,99,3,2, Laboratory Technician ,4,Married,99999,16523,8,Unknown,15,3,3,Unknown,1,11,2,4,7,3,7,1983,True
2266,22,18-25,False,Unknown,1136,Research & Development,22,3,Life Sciences,3,M,60,4,1, Research Scientist ,2,Unknown,2328,12392,1,Unknown,16,3,1,Unknown,1,4,2,2,4,2,2,2001,False
287,40,36-45,False,Unknown,1151,Research & Development,10,5,Life Sciences,4,M,63,2,2, Healthcare Representative ,4,Unknown,99999,14242,9,False,14,3,4,Unknown,1,5,5,1,3,0,2,1983,True
288,46,46-55,False,Unknown,644,Research & Development,1,4,Unknown,4,M,99999,3,3, Healthcare Representative ,1,Unknown,99999,12368,7,False,16,3,3,Unknown,1,17,3,3,4,0,3,1977,True
297,30,26-35,True,Unknown,1005,Research & Development,3,3,Technical Degree,4,F,88,3,1, Research Scientist ,1,Unknown,2657,8556,5,True,11,3,3,Unknown,0,8,5,3,5,0,4,1993,True
2267,29,26-35,True,Unknown,992,Research & Development,1,3,Unknown,3,M,85,3,1, Research Scientist ,3,Single,99999,19757,0,Unknown,14,3,4,Unknown,0,11,1,2,6,1,5,1994,False
303,54,46-55,False,Unknown,1147,Sales,3,3,Unknown,4,F,52,3,2, Sales Executive ,1,Married,5940,17011,2,Unknown,14,3,4,Unknown,1,16,4,3,6,0,5,1969,False
305,33,26-35,False,Travel Rarely,147,Research & Development,4,4,Unknown,3,F,47,2,1, Research Scientist ,2,Married,2622,13248,6,Unknown,21,4,4,Unknown,0,11,3,3,3,1,1,1990,True
316,52,46-55,False,Travel Rarely,1323,Research & Development,2,3,Unknown,3,F,89,2,1, Laboratory Technician ,4,Single,3212,3300,7,Unknown,15,3,2,Unknown,0,11,3,2,2,2,2,1971,True
2268,59,56-65,False,Travel Rarely,818,Human Resources,6,2,Medical,2,M,99999,3,1, Human Resources ,3,Married,99999,25657,8,Unknown,17,3,4,Unknown,0,11,2,2,2,2,2,1964,False
2269,32,26-35,True,Unknown,515,Research & Development,1,3,Unknown,4,M,62,2,1, Laboratory Technician ,3,Single,99999,9571,0,Unknown,14,3,4,Unknown,0,4,2,1,3,1,2,1991,True
332,39,36-45,False,Unknown,1431,Research & Development,24,4,Medical,3,F,96,3,1, Laboratory Technician ,3,Divorced,99999,15417,7,False,14,3,3,Unknown,3,7,1,3,3,1,2,1984,False
2270,32,26-35,False,Non Travel,976,Sales,26,4,Marketing,3,M,100,3,2, Sales Executive ,4,Unknown,99999,12069,0,False,18,3,1,Unknown,0,4,2,3,3,2,2,1991,True
337,31,26-35,False,Unknown,1327,Research & Development,3,4,Medical,2,M,73,3,3, Research Director ,3,Divorced,99999,13523,9,False,12,3,1,Unknown,1,11,3,3,2,2,2,1992,True
338,33,26-35,False,Travel Rarely,832,Research & Development,5,4,Life Sciences,3,F,63,2,1, Research Scientist ,4,Married,2911,14776,1,Unknown,13,3,3,Unknown,1,2,2,2,2,0,2,1990,True
341,45,36-45,False,Unknown,1199,Research & Development,23,4,Life Sciences,1,M,77,4,2, Manufacturing Director ,3,Unknown,99999,5118,4,Unknown,17,3,4,Unknown,1,9,1,3,3,0,2,1978,True
347,42,36-45,False,Unknown,916,Research & Development,17,2,Unknown,4,F,82,4,2, Research Scientist ,1,Single,99999,23016,3,True,13,3,3,Unknown,0,11,1,3,3,0,2,1981,True
349,29,26-35,False,Unknown,1247,Sales,19,2,Marketing,4,M,45,3,2, Sales Executive ,4,Divorced,6931,10732,2,False,14,3,4,Unknown,1,11,2,3,3,0,2,1994,False
350,25,18-25,False,Travel Rarely,685,Research & Development,1,3,Unknown,1,F,62,3,2, Manufacturing Director ,3,Married,99999,7505,0,False,12,3,4,Unknown,2,5,3,3,4,1,2,1998,False
362,32,26-35,False,Unknown,128,Research & Development,2,1,Unknown,4,M,84,2,2, Laboratory Technician ,1,Unknown,2176,19737,4,False,13,3,4,Unknown,0,9,5,3,6,0,4,1991,False
2271,28,26-35,False,Travel Rarely,1158,Research & Development,9,3,Unknown,4,M,94,3,1, Research Scientist ,4,Married,99999,2613,1,False,23,4,4,Unknown,1,11,3,3,5,0,4,1995,True
379,21,18-25,False,Travel Rarely,996,Research & Development,3,2,Unknown,4,M,100,2,1, Research Scientist ,3,Single,3230,10531,1,False,17,3,1,Unknown,0,11,4,4,3,1,0,2002,False
380,37,36-45,False,Non Travel,728,Research & Development,1,4,Medical,1,F,80,3,3, Research Director ,4,Divorced,99999,11677,2,True,18,3,1,Unknown,2,11,2,3,5,0,2,1986,False
393,38,36-45,False,Travel Rarely,688,Research & Development,23,4,Life Sciences,4,M,82,3,2, Healthcare Representative ,4,Unknown,99999,18899,9,Unknown,14,3,2,Unknown,1,11,2,3,2,1,2,1985,False
394,26,26-35,True,Travel Rarely,1449,Research & Development,16,4,Medical,1,M,45,3,1, Laboratory Technician ,2,Divorced,99999,14180,2,True,13,3,4,Unknown,1,11,2,3,3,0,2,1997,False
396,49,46-55,False,Unknown,636,Research & Development,10,4,Life Sciences,3,F,99999,3,5, Research Director ,1,Single,18665,25594,9,True,11,3,4,Unknown,0,11,4,3,3,1,2,1974,True
2272,31,26-35,False,Travel Frequently,444,Sales,5,3,Unknown,4,F,84,3,1, Sales Representative ,2,Divorced,2789,3909,1,Unknown,11,3,3,Unknown,1,2,5,2,2,2,2,1992,True
403,37,36-45,False,Travel Frequently,889,Research & Development,9,3,Medical,2,M,53,3,1, Research Scientist ,4,Married,99999,11411,1,Unknown,12,3,3,Unknown,3,11,3,2,4,1,2,1986,False
423,31,26-35,False,Travel Rarely,691,Research & Development,11,4,Unknown,2,M,86,3,1, Research Scientist ,4,Married,99999,10077,0,Unknown,12,3,3,Unknown,1,11,4,3,5,0,3,1992,True
433,52,46-55,True,Unknown,723,Research & Development,17,4,Medical,2,M,85,2,2, Research Scientist ,2,Unknown,4941,17747,2,False,15,3,1,Unknown,0,11,3,2,8,7,7,1971,False
495,29,26-35,False,Unknown,1283,Research & Development,17,3,Unknown,2,M,54,3,1, Research Scientist ,4,Unknown,99999,18168,9,False,16,3,4,Unknown,0,6,4,3,3,1,2,1994,False
2273,52,46-55,False,Travel Rarely,1490,Unknown,4,2,Life Sciences,4,F,99999,3,4, Manager ,4,Married,99999,10310,2,False,13,3,4,Unknown,0,31,2,1,5,1,4,1971,False
555,34,26-35,True,Travel Frequently,296,Unknown,6,2,Unknown,4,F,33,1,1, Sales Representative ,3,Unknown,99999,12253,0,False,16,3,4,Unknown,1,3,3,2,2,1,0,1989,True
2274,26,26-35,False,Travel Rarely,1349,Research & Development,23,3,Life Sciences,1,F,90,3,1, Research Scientist ,4,Divorced,99999,3032,1,False,22,4,2,Unknown,2,11,3,1,3,0,2,1997,True
564,29,26-35,False,Unknown,986,Research & Development,3,4,Unknown,2,M,93,2,3, Research Director ,3,Unknown,11935,21526,1,False,18,3,3,Unknown,0,11,2,3,10,0,7,1994,True
2275,29,26-35,True,Unknown,408,Research & Development,25,5,Technical Degree,3,F,71,2,1, Research Scientist ,2,Married,2546,18300,5,False,16,3,2,Unknown,0,6,2,4,2,1,1,1994,False
2276,46,46-55,False,Unknown,1009,Research & Development,2,3,Life Sciences,1,M,51,3,4, Research Director ,3,Married,17861,2288,6,False,13,3,3,Unknown,0,11,2,1,3,0,1,1977,False
580,46,46-55,False,Unknown,1125,Sales,10,3,Marketing,3,F,94,2,3, Sales Executive ,4,Unknown,99999,11563,2,Unknown,19,3,3,Unknown,1,15,3,3,3,1,2,1977,False
585,30,26-35,False,Travel Rarely,413,Sales,7,1,Marketing,4,M,57,3,1, Sales Representative ,2,Single,99999,18398,0,Unknown,14,3,1,Unknown,0,11,3,3,3,1,2,1993,True
2277,34,26-35,True,Travel Frequently,988,Human Resources,23,3,Unknown,2,F,43,3,3, Human Resources ,1,Divorced,99999,11533,9,True,15,3,3,Unknown,3,11,2,3,3,0,2,1989,False
591,42,36-45,False,Unknown,1474,Research & Development,5,2,Other,2,M,97,3,1, Laboratory Technician ,3,Married,99999,9260,4,False,17,3,4,Unknown,1,11,4,3,2,2,0,1981,True
593,22,18-25,True,Unknown,1368,Research & Development,25,1,Technical Degree,3,M,99,2,1, Laboratory Technician ,3,Single,3894,9129,5,False,16,3,3,Unknown,0,4,3,3,2,1,2,2001,True
611,29,26-35,False,Travel Rarely,232,Research & Development,19,3,Technical Degree,4,M,34,3,2, Manufacturing Director ,4,Divorced,4262,22645,4,False,12,3,2,Unknown,2,8,2,4,3,1,2,1994,True
624,46,46-55,False,Travel Frequently,1034,Research & Development,18,1,Medical,1,F,86,3,3, Healthcare Representative ,3,Married,10527,8984,5,False,11,3,4,Unknown,0,11,3,2,2,1,2,1977,True
631,32,26-35,True,Unknown,1474,Sales,11,4,Other,4,M,99999,4,2, Sales Executive ,3,Unknown,99999,23914,8,Unknown,12,3,4,Unknown,0,11,2,3,4,1,2,1991,True
632,24,18-25,False,Unknown,99999,Unknown,24,3,Medical,4,M,38,3,1, Sales Representative ,4,Unknown,2400,5530,0,False,13,3,3,Unknown,2,3,3,3,2,2,1,1999,False
652,35,26-35,False,Travel Rarely,538,Research & Development,25,2,Unknown,1,M,54,2,2, Laboratory Technician ,4,Single,3681,14004,4,False,14,3,4,Unknown,0,11,3,3,3,0,2,1988,False
659,42,36-45,False,Unknown,622,Research & Development,2,4,Life Sciences,3,F,81,3,2, Healthcare Representative ,4,Married,99999,5718,1,False,13,3,2,Unknown,2,10,4,3,10,2,2,1981,True
664,48,46-55,False,Travel Rarely,1236,Unknown,1,4,Unknown,4,F,40,2,4, Manager ,1,Married,99999,17997,7,False,11,3,1,Unknown,1,21,3,1,3,0,2,1975,True
665,44,36-45,False,Travel Rarely,1112,Unknown,1,4,Unknown,1,F,50,2,2, Human Resources ,3,Unknown,99999,26894,4,False,11,3,2,Unknown,0,10,1,4,2,0,2,1979,True
666,34,26-35,False,Unknown,204,Sales,14,3,Unknown,3,F,31,3,1, Sales Representative ,3,Unknown,99999,2912,1,True,18,3,4,Unknown,2,8,3,3,8,0,6,1989,True
2278,21,18-25,False,Unknown,1343,Unknown,22,1,Technical Degree,3,M,49,3,1, Sales Representative ,3,Unknown,3447,24444,1,Unknown,11,3,3,Unknown,0,11,2,3,3,1,2,2002,True
671,44,36-45,False,Travel Rarely,1315,Unknown,3,4,Unknown,4,M,35,3,5, Manager ,4,Unknown,19513,9358,4,Unknown,12,3,1,Unknown,1,26,2,4,2,0,1,1979,True
675,22,18-25,False,Travel Rarely,99999,Research & Development,6,1,Medical,1,M,69,3,1, Research Scientist ,3,Married,99999,12145,0,Unknown,20,4,4,Unknown,0,11,3,3,2,2,2,2001,True
686,26,26-35,False,Travel Rarely,991,Research & Development,6,3,Unknown,3,F,71,3,1, Laboratory Technician ,4,Unknown,2659,17759,1,True,13,3,3,Unknown,1,11,2,3,3,0,2,1997,False
699,36,36-45,False,Unknown,913,Research & Development,9,2,Medical,2,M,48,2,2, Manufacturing Director ,2,Unknown,8847,13934,2,True,11,3,3,Unknown,1,13,2,3,3,0,2,1987,True
2279,27,26-35,False,Unknown,1115,Research & Development,3,4,Medical,1,M,54,2,1, Research Scientist ,4,Single,2045,15174,0,Unknown,13,3,4,Unknown,0,5,0,3,4,1,1,1996,True
705,23,18-25,False,Travel Rarely,885,Research & Development,4,3,Unknown,1,M,58,4,1, Research Scientist ,1,Unknown,99999,8544,2,Unknown,16,3,1,Unknown,1,5,3,4,3,0,2,2000,False
707,25,18-25,False,Unknown,810,Sales,8,3,Life Sciences,4,M,57,4,2, Sales Executive ,2,Unknown,4851,15678,0,False,22,4,3,Unknown,1,4,4,3,3,1,2,1998,False
712,48,46-55,False,Unknown,817,Sales,14,1,Unknown,2,M,56,4,2, Sales Executive ,2,Married,8120,18597,3,Unknown,12,3,4,Unknown,0,11,3,3,2,2,2,1975,True
2280,24,18-25,True,Travel Rarely,693,Sales,3,2,Life Sciences,1,F,65,3,2, Sales Executive ,3,Single,4577,24785,9,False,14,3,1,Unknown,0,11,3,3,2,2,0,1999,True
732,60,56-65,False,Travel Rarely,1179,Sales,16,4,Unknown,1,M,84,3,2, Sales Executive ,1,Single,5405,11924,8,False,14,3,4,Unknown,0,10,1,3,2,2,2,1963,False
738,50,46-55,False,Unknown,316,Unknown,8,4,Marketing,4,M,54,3,1, Sales Representative ,2,Married,99999,9983,7,False,15,3,4,Unknown,1,4,2,3,2,2,2,1973,True
744,44,36-45,False,Non Travel,381,Research & Development,24,3,Unknown,1,M,49,1,1, Laboratory Technician ,3,Single,3708,2104,2,Unknown,14,3,3,Unknown,0,9,5,3,5,1,4,1979,False
746,47,46-55,False,Travel Frequently,217,Sales,3,3,Unknown,4,F,49,3,4, Sales Executive ,3,Divorced,13770,10225,9,True,12,3,4,Unknown,2,28,2,2,22,11,13,1976,True
752,42,36-45,True,Unknown,933,Research & Development,19,3,Unknown,3,M,57,4,1, Research Scientist ,3,Divorced,99999,20366,6,Unknown,12,3,4,Unknown,0,11,2,3,2,2,2,1981,True
754,43,36-45,False,Travel Frequently,775,Sales,15,3,Life Sciences,4,M,47,2,2, Sales Executive ,4,Married,99999,23683,3,Unknown,18,3,3,Unknown,1,7,5,3,2,2,2,1980,True
2281,40,36-45,False,Unknown,804,Research & Development,2,1,Unknown,4,F,86,2,1, Research Scientist ,4,Single,99999,22929,0,Unknown,20,4,4,Unknown,0,5,2,2,4,2,3,1983,False
2282,29,26-35,False,Unknown,1090,Sales,10,3,Unknown,4,M,83,3,1, Sales Representative ,2,Unknown,2297,17967,1,False,14,3,4,Unknown,2,11,2,3,2,2,2,1994,False
769,53,46-55,False,Unknown,346,Research & Development,6,3,Unknown,4,M,86,3,2, Laboratory Technician ,4,Single,2450,10919,2,Unknown,17,3,4,Unknown,0,19,4,3,2,2,2,1970,False
2283,23,18-25,False,Travel Rarely,310,Research & Development,12,1,Medical,1,M,79,4,1, Research Scientist ,3,Single,99999,19630,1,Unknown,18,3,4,Unknown,0,11,3,3,2,0,2,2000,False
2284,55,46-55,True,Unknown,725,Unknown,2,3,Medical,4,M,78,3,5, Manager ,1,Unknown,99999,21199,5,True,13,3,4,Unknown,1,24,2,3,5,1,4,1968,False
792,26,26-35,False,Travel Frequently,575,Research & Development,1,2,Life Sciences,1,F,71,1,1, Laboratory Technician ,4,Unknown,99999,5288,3,False,14,3,1,Unknown,1,11,2,3,2,2,0,1997,True
797,34,26-35,False,Travel Rarely,182,Research & Development,1,4,Unknown,2,F,72,4,1, Research Scientist ,4,Single,99999,13551,2,False,16,3,3,Unknown,0,11,2,3,4,1,3,1989,False
800,27,26-35,False,Unknown,829,Sales,8,1,Marketing,3,M,84,3,2, Sales Executive ,4,Married,4342,24008,0,Unknown,19,3,2,Unknown,1,5,3,3,4,1,1,1996,True
2285,35,26-35,False,Travel Rarely,384,Unknown,8,4,Unknown,1,F,72,3,1, Sales Representative ,4,Unknown,2572,20317,1,False,16,3,2,Unknown,1,3,1,2,3,0,2,1988,True
806,30,26-35,False,Travel Rarely,921,Research & Development,18,3,Unknown,4,M,38,1,1, Laboratory Technician ,3,Married,99999,24375,3,False,21,3,3,Unknown,2,7,2,3,2,0,2,1993,True
2286,34,26-35,False,Unknown,1111,Sales,8,2,Unknown,3,F,93,3,2, Sales Executive ,1,Unknown,6500,13305,5,False,17,3,2,Unknown,1,11,1,3,3,1,2,1989,True
813,52,46-55,False,Travel Rarely,1325,Research & Development,25,4,Life Sciences,3,F,82,3,2, Laboratory Technician ,3,Unknown,3149,21821,8,Unknown,20,4,2,Unknown,1,9,3,3,5,1,4,1971,True
819,33,26-35,True,Travel Rarely,118,Sales,16,3,Marketing,1,F,69,3,2, Sales Executive ,1,Single,5324,26507,5,Unknown,15,3,3,Unknown,0,11,3,3,3,0,2,1990,False
2287,35,26-35,False,Travel Rarely,1258,Research & Development,20,4,Unknown,2,F,40,4,1, Research Scientist ,3,Single,99999,13301,3,False,13,3,3,Unknown,0,7,0,3,2,2,2,1988,False
2288,28,26-35,True,Unknown,890,Research & Development,2,4,Unknown,3,M,99999,3,1, Research Scientist ,3,Single,4382,16374,6,False,17,3,4,Unknown,0,5,3,2,2,2,1,1995,True
2289,36,36-45,False,Travel Rarely,1041,Unknown,13,3,Human Resources,3,M,36,3,1, Human Resources ,2,Married,99999,25527,4,Unknown,13,3,2,Unknown,1,11,2,3,5,0,4,1987,True
838,34,26-35,False,Travel Frequently,702,Research & Development,16,4,Unknown,3,F,100,2,1, Research Scientist ,4,Single,2553,8306,1,False,16,3,3,Unknown,0,6,3,3,5,1,3,1989,True
847,34,26-35,False,Unknown,829,Unknown,3,2,Unknown,3,M,99999,3,1, Human Resources ,4,Unknown,99999,2243,0,Unknown,19,3,3,Unknown,1,4,1,1,3,0,2,1989,False
852,44,36-45,False,Travel Rarely,625,Research & Development,4,3,Unknown,4,M,50,3,2, Healthcare Representative ,2,Single,5933,5197,9,Unknown,12,3,4,Unknown,0,10,2,2,5,2,3,1979,True
859,32,26-35,False,Unknown,99999,Sales,13,4,Life Sciences,2,M,73,3,2, Sales Executive ,4,Divorced,4403,9250,2,Unknown,11,3,3,Unknown,1,8,3,2,5,0,3,1991,True
2290,53,46-55,False,Unknown,661,Sales,7,2,Unknown,1,F,78,2,3, Sales Executive ,4,Married,10934,20715,7,True,18,3,4,Unknown,1,35,3,3,5,0,4,1970,False
872,22,18-25,False,Unknown,99999,Research & Development,1,2,Life Sciences,4,M,99999,2,2, Manufacturing Director ,4,Unknown,99999,19146,6,Unknown,22,4,1,Unknown,2,4,2,1,2,2,2,2001,False
874,44,36-45,False,Travel Rarely,986,Research & Development,8,4,Life Sciences,1,M,62,4,1, Laboratory Technician ,4,Unknown,99999,5044,2,True,24,4,3,Unknown,1,10,2,2,3,0,2,1979,False
881,35,26-35,True,Travel Frequently,99999,Research & Development,25,4,Life Sciences,4,F,96,3,1, Research Scientist ,2,Divorced,2022,16612,1,Unknown,19,3,1,Unknown,1,10,3,2,10,7,8,1988,True
885,25,18-25,False,Unknown,583,Sales,4,1,Unknown,3,M,87,2,2, Sales Executive ,1,Unknown,4256,18154,1,False,12,3,1,Unknown,0,5,1,4,5,0,3,1998,False
2291,49,46-55,False,Travel Rarely,1418,Research & Development,1,3,Technical Degree,3,F,36,3,1, Research Scientist ,1,Unknown,3580,10554,2,False,16,3,2,Unknown,1,7,2,3,4,0,2,1974,False
888,24,18-25,False,Non Travel,1269,Research & Development,19,1,Life Sciences,1,M,99999,2,1, Laboratory Technician ,4,Unknown,99999,10778,0,Unknown,17,3,4,Unknown,0,11,2,2,5,3,4,1999,False
893,38,36-45,False,Travel Rarely,395,Sales,9,3,Marketing,2,M,98,2,1, Sales Representative ,2,Unknown,2899,12102,0,Unknown,19,3,4,Unknown,1,3,3,3,2,1,2,1985,True
896,29,26-35,True,Travel Rarely,341,Unknown,1,3,Medical,2,F,48,2,1, Sales Representative ,3,Unknown,99999,23522,6,True,19,3,3,Unknown,3,5,3,3,3,0,2,1994,False
902,43,36-45,False,Travel Frequently,99999,Research & Development,1,3,Life Sciences,4,F,33,3,2, Healthcare Representative ,4,Married,5562,21782,4,Unknown,13,3,2,Unknown,1,12,2,2,5,2,2,1980,True
916,28,26-35,False,Travel Rarely,821,Sales,5,4,Medical,1,M,98,3,2, Sales Executive ,4,Single,99999,24252,1,Unknown,14,3,2,Unknown,0,4,3,3,4,0,2,1995,False
922,20,18-25,True,Travel Rarely,500,Unknown,2,3,Unknown,3,F,49,2,1, Sales Representative ,3,Single,99999,22052,1,Unknown,13,3,4,Unknown,0,2,3,2,2,0,2,2003,True
925,47,46-55,False,Unknown,1454,Unknown,2,4,Life Sciences,4,F,65,2,1, Sales Representative ,4,Single,99999,13137,1,True,18,3,1,Unknown,0,3,3,2,3,1,2,1976,True
2292,22,18-25,True,Travel Rarely,617,Research & Development,3,1,Life Sciences,2,F,34,3,2, Manufacturing Director ,3,Married,99999,10022,0,True,19,3,1,Unknown,1,4,3,4,3,0,2,2001,True
930,28,26-35,False,Unknown,995,Research & Development,9,3,Medical,3,F,77,3,1, Research Scientist ,3,Divorced,2377,9834,5,False,18,3,2,Unknown,1,6,2,3,2,2,2,1995,True
2293,39,36-45,True,Unknown,1122,Research & Development,6,3,Medical,4,M,70,3,1, Laboratory Technician ,1,Married,2404,4303,7,Unknown,21,4,4,Unknown,0,11,2,1,2,2,2,1984,True
939,33,26-35,False,Travel Rarely,1198,Research & Development,1,4,Unknown,3,M,100,2,1, Research Scientist ,1,Single,2799,3339,3,Unknown,11,3,2,Unknown,0,11,1,3,3,0,2,1990,False
2294,36,36-45,False,Travel Rarely,188,Research & Development,7,4,Other,2,M,65,3,1, Research Scientist ,4,Single,99999,23293,2,Unknown,18,3,3,Unknown,0,8,6,3,6,0,1,1987,True
975,35,26-35,False,Travel Rarely,1219,Sales,48,3,Unknown,3,F,86,3,2, Sales Executive ,3,Unknown,99999,6179,1,Unknown,16,3,2,Unknown,0,5,3,3,5,1,0,1988,True
991,31,26-35,True,Unknown,335,Research & Development,9,2,Medical,3,M,46,2,1, Research Scientist ,1,Single,99999,10322,0,True,22,4,1,Unknown,0,4,0,3,3,1,2,1992,False
995,33,26-35,False,Travel Rarely,461,Research & Development,13,1,Life Sciences,2,F,53,3,1, Research Scientist ,4,Single,3452,17241,3,Unknown,18,3,1,Unknown,0,5,4,3,3,0,2,1990,False
1001,27,26-35,False,Unknown,1134,Research & Development,24,4,Unknown,3,F,37,3,1, Laboratory Technician ,2,Married,2811,12086,9,False,14,3,2,Unknown,1,4,2,3,2,2,2,1996,False
2295,30,26-35,True,Travel Rarely,138,Research & Development,22,3,Unknown,1,F,48,3,1, Research Scientist ,3,Married,99999,11539,4,Unknown,11,3,2,Unknown,0,11,2,3,5,0,1,1993,True
2296,24,18-25,False,Unknown,1206,Research & Development,17,1,Medical,4,F,41,2,2, Manufacturing Director ,3,Divorced,4377,24117,1,False,15,3,2,Unknown,2,5,6,3,4,3,2,1999,False
1010,35,26-35,True,Travel Rarely,622,Research & Development,14,4,Other,3,M,39,2,1, Laboratory Technician ,2,Divorced,99999,10074,1,True,24,4,4,Unknown,1,5,2,1,4,0,2,1988,False
1017,30,26-35,True,Unknown,109,Research & Development,5,3,Unknown,2,F,60,3,1, Laboratory Technician ,2,Unknown,99999,25725,0,Unknown,17,3,1,Unknown,0,4,3,3,3,1,2,1993,True
1022,48,46-55,False,Travel Rarely,277,Research & Development,6,3,Unknown,1,M,97,2,2, Healthcare Representative ,3,Unknown,4240,13119,2,False,13,3,4,Unknown,0,19,0,3,2,2,2,1975,True
2297,41,36-45,False,Travel Rarely,549,Research & Development,7,2,Medical,4,F,42,3,2, Manufacturing Director ,3,Unknown,99999,23371,6,Unknown,14,3,2,Unknown,0,8,6,3,2,2,1,1982,False
1027,27,26-35,False,Unknown,1055,Research & Development,2,4,Unknown,1,F,47,3,2, Manufacturing Director ,4,Unknown,4227,4658,0,Unknown,18,3,2,Unknown,1,11,2,3,3,2,2,1996,True
1028,35,26-35,False,Travel Rarely,802,Research & Development,10,3,Other,2,M,45,3,1, Laboratory Technician ,4,Unknown,3917,9541,1,False,20,4,1,Unknown,1,3,4,2,3,1,2,1988,False
